iter	Passed	Remaining
370	5111	7287
371	5123	7271
372	5135	7255
373	5147	7239
374	5159	7222
375	5170	7206
376	5182	7189
377	5194	7173
378	5205	7156
379	5217	7140
380	5229	7123
381	5241	7107
382	5252	7090
383	5264	7073
384	5275	7057
385	5288	7041
386	5300	7025
387	5311	7009
388	5323	6993
389	5335	6977
390	5347	6961
391	5358	6944
392	5370	6928
393	5382	6912
394	5394	6896
395	5406	6880
396	5418	6864
397	5429	6848
398	5441	6832
399	5453	6816
400	5465	6800
401	5476	6784
402	5488	6769
403	5500	6753
404	5512	6737
405	5525	6722
406	5537	6707
407	5550	6693
408	5562	6677
409	5575	6662
410	5587	6647
411	5599	6632
412	5611	6617
413	5624	6602
414	5636	6587
415	5648	6571
416	5660	6556
417	5671	6539
418	5683	6524
419	5695	6508
420	5706	6493
421	5718	6477
422	5730	6461
423	5742	6446
424	5754	6431
425	5766	6415
426	5777	6400
427	5789	6384
428	5800	6368
429	5813	6353
430	5825	6338
431	5836	6323
432	5847	6307
433	5859	6291
434	5870	6275
435	5882	6260
436	5893	6244
437	5904	6228
438	5916	6212
439	5927	6196
440	5938	6181
441	5949	6165
442	5961	6149
443	5973	6134
444	5984	6118
445	5996	6104
446	6008	6088
447	6020	6074
448	6032	6059
449	6044	6044
450	6055	6028
451	6066	6013
452	6078	5997
453	6090	5982
454	6102	5967
455	6113	5952
456	6124	5937
457	6135	5921
458	6146	5905
459	6158	5890
460	6185	5889
461	6196	5874
462	6207	5859
463	6219	5843
464	6229	5827
465	6240	5811
466	6251	5796
467	6262	5780
468	6272	5764
469	6284	5749
470	6296	5734
471	6308	5720
472	6319	5704
473	6330	5689
474	6342	5674
475	6353	5659
476	6365	5644
477	6377	5630
478	6389	5615
479	6400	5600
480	6412	5585
481	6424	5571
482	6436	5556
483	6448	5542
484	6459	5527
485	6471	5513
486	6483	5498
487	6495	5483
488	6506	5468
489	6517	5453
490	6529	5438
491	6540	5423
492	6551	5408
493	6562	5393
494	6574	5379
495	6586	5364
496	6597	5349
497	6609	5335
498	6620	5320
499	6632	5305
500	6643	5290
501	6654	5275
502	6666	5261
503	6677	5246
504	6689	5232
505	6703	5219
506	6716	5206
507	6728	5191
508	6739	5177
509	6751	5162
510	6763	5148
511	6776	5134
512	6787	5120
513	6799	5106
514	6811	5092
515	6823	5078
516	6835	5063
517	6847	5049
518	6858	5035
519	6870	5020
520	6882	5006
521	6893	4992
522	6905	4977
523	6917	4963
524	6928	4948
525	6940	4934
526	6952	4920
527	6964	4907
528	6976	4892
529	6987	4878
530	6999	4863
531	7011	4849
532	7023	4835
533	7034	4821
534	7045	4806
535	7057	4792
536	7068	4778
537	7080	4764
538	7092	4750
539	7104	4736
540	7116	4722
541	7127	4708
542	7139	4693
543	7150	4679
544	7161	4665
545	7172	4650
546	7184	4636
547	7195	4622
548	7207	4608
549	7218	4593
550	7230	4579
551	7242	4565
552	7254	4551
553	7265	4537
554	7277	4523
555	7289	4509
556	7300	4495
557	7312	4482
558	7324	4468
559	7336	4454
560	7347	4440
561	7359	4426
562	7371	4412
563	7383	4398
564	7394	4384
565	7407	4371
566	7426	4361
567	7442	4350
568	7454	4336
569	7466	4322
570	7480	4310
571	7493	4296
572	7505	4283
573	7518	4270
574	7530	4256
575	7542	4242
576	7553	4228
577	7564	4214
578	7576	4200
579	7588	4186
580	7599	4172
581	7611	4158
582	7623	4145
583	7635	4131
584	7647	4117
585	7658	4103
586	7669	4089
587	7681	4075
588	7693	4062
589	7705	4048
590	7717	4035
591	7729	4021
592	7745	4009
593	7760	3997
594	7773	3984
595	7787	3972
596	7801	3959
597	7813	3946
598	7827	3933
599	7842	3921
600	7854	3907
601	7866	3893
602	7877	3880
603	7889	3866
604	7900	3852
605	7911	3838
606	7923	3824
607	7934	3810
608	7946	3797
609	7958	3783
610	7970	3769
611	7982	3756
612	7993	3742
613	8005	3729
614	8017	3715
615	8029	3701
616	8041	3688
617	8052	3674
618	8064	3660
619	8075	3646
620	8087	3633
621	8098	3619
622	8109	3605
623	8121	3592
624	8134	3579
625	8146	3565
626	8158	3552
627	8170	3538
628	8182	3525
629	8194	3511
630	8206	3498
631	8217	3484
632	8229	3471
633	8240	3457
634	8252	3443
635	8263	3430
636	8276	3416
637	8288	3403
638	8299	3390
639	8311	3376
640	8322	3362
641	8333	3349
642	8344	3335
643	8355	3321
644	8367	3307
645	8378	3294
646	8389	3280
647	8400	3266
648	8411	3253
649	8422	3239
650	8433	3225
651	8444	3211
652	8455	3198
653	8466	3184
654	8477	3170
655	8488	3157
656	8499	3143
657	8510	3129
658	8521	3116
659	8532	3102
660	8543	3089
661	8554	3075
662	8565	3061
663	8576	3048
664	8587	3034
665	8599	3021
666	8610	3007
667	8620	2994
668	8632	2980
669	8644	2967
670	8656	2954
671	8667	2940
672	8678	2927
673	8690	2913
674	8701	2900
675	8711	2886
676	8722	2873
677	8733	2859
678	8744	2846
679	8755	2832
680	8766	2819
681	8777	2805
682	8788	2792
683	8799	2778
684	8811	2765
685	8822	2752
686	8833	2738
687	8845	2725
688	8855	2712
689	8866	2698
690	8877	2685
691	8887	2671
692	8898	2658
693	8909	2644
694	8920	2631
695	8931	2617
696	8942	2604
697	8954	2591
698	8965	2578
699	8977	2565
700	8988	2551
701	9000	2538
702	9011	2525
703	9022	2512
704	9033	2498
705	9045	2485
706	9057	2472
707	9068	2459
708	9079	2446
709	9092	2433
710	9104	2420
711	9116	2407
712	9127	2393
713	9139	2380
714	9151	2367
715	9162	2354
716	9174	2341
717	9187	2328
718	9198	2315
719	9209	2302
720	9220	2289
721	9231	2275
722	9242	2262
723	9253	2249
724	9265	2236
725	9277	2223
726	9287	2210
727	9299	2197
728	9310	2184
729	9322	2170
730	9333	2157
731	9344	2144
732	9355	2131
733	9366	2118
734	9377	2105
735	9398	2094
736	9410	2081
737	9422	2068
738	9433	2055
739	9444	2042
740	9456	2029
741	9467	2015
742	9478	2002
743	9489	1989
744	9500	1976
745	9511	1963
746	9523	1950
747	9534	1937
748	9545	1924
749	9573	1914
750	9585	1901
751	9597	1888
752	9608	1875
753	9619	1862
754	9630	1849
755	9641	1836
756	9653	1823
757	9665	1810
758	9676	1797
759	9688	1784
760	9699	1771
761	9711	1758
762	9722	1745
763	9735	1732
764	9746	1720
765	9758	1707
766	9769	1694
767	9781	1681
768	9793	1668
769	9805	1655
770	9816	1642
771	9828	1629
772	9839	1616
773	9851	1603
774	9863	1590
775	9874	1577
776	9885	1564
777	9897	1552
778	9909	1539
779	9920	1526
780	9932	1513
781	9944	1500
782	9955	1487
783	9967	1474
784	9980	1462
785	9992	1449
786	10004	1436
787	10015	1423
788	10027	1410
789	10039	1397
790	10051	1385
791	10063	1372
792	10075	1359
793	10087	1346
794	10099	1333
795	10111	1321
796	10122	1308
797	10134	1295
798	10157	1283
799	10169	1271
800	10182	1258
801	10194	1245
802	10206	1232
803	10218	1220
804	10230	1207
805	10241	1194
806	10253	1181
807	10264	1168
808	10276	1155
809	10287	1143
810	10298	1130
811	10309	1117
812	10319	1104
813	10330	1091
814	10341	1078
815	10352	1065
816	10363	1052
817	10375	1040
818	10386	1027
819	10397	1014
820	10408	1001
821	10419	988
822	10430	975
823	10442	963
824	10453	950
825	10464	937
826	10475	924
827	10486	911
828	10497	899
829	10508	886
830	10520	873
831	10531	860
832	10542	847
833	10553	835
834	10564	822
835	10576	809
836	10587	796
837	10598	784
838	10609	771
839	10620	758
840	10631	745
841	10642	733
842	10653	720
843	10664	707
844	10675	694
845	10686	682
846	10697	669
847	10708	656
848	10720	643
849	10731	631
850	10741	618
851	10752	605
852	10763	593
853	10775	580
854	10786	567
855	10797	555
856	10808	542
857	10820	529
858	10831	517
859	10843	504
860	10854	491
861	10865	478
862	10876	466
863	10887	453
864	10898	440
865	10909	428
866	10920	415
867	10931	403
868	10942	390
869	10955	377
870	10967	365
871	10979	352
872	10990	339
873	11002	327
874	11014	314
875	11026	302
876	11037	289
877	11048	276
878	11059	264
879	11071	251
880	11081	238
881	11092	226
882	11104	213
883	11114	201
884	11126	188
885	11137	175
886	11149	163
887	11160	150
888	11172	138
889	11184	125
890	11195	113
891	11206	100
892	11217	87
893	11229	75
894	11240	62
895	11251	50
896	11262	37
897	11273	25
898	11283	12
899	11294	0
