iter	Logloss
0	0.6833975524
1	0.6759446251
2	0.6678909348
3	0.6610859759
4	0.6547227689
5	0.6479588074
6	0.6420916877
7	0.636346454
8	0.6303283138
9	0.625398173
10	0.619776915
11	0.6144494617
12	0.6096107813
13	0.6051823212
14	0.6015240227
15	0.5965830639
16	0.5930644762
17	0.5892346277
18	0.5859544645
19	0.5830678642
20	0.5795802551
21	0.5767953802
22	0.5731259564
23	0.570038856
24	0.5661514144
25	0.5639633686
26	0.562108957
27	0.5586111447
28	0.5557925252
29	0.55409399
30	0.5517455809
31	0.5493246426
32	0.5464171441
33	0.5441824461
34	0.5416993048
35	0.5389486661
36	0.5371788309
37	0.5350547706
38	0.5337762285
39	0.5315820362
40	0.5303934795
41	0.5284691203
42	0.5260383475
43	0.5237583495
44	0.5220269302
45	0.5204740065
46	0.5180779617
47	0.5168282469
48	0.5155284686
49	0.5140892252
50	0.5123337729
51	0.5109335908
52	0.5096268361
53	0.5081265883
54	0.5071395152
55	0.5057706189
56	0.5042056788
57	0.50288617
58	0.5015754815
59	0.5003746932
60	0.4992387508
61	0.4973103964
62	0.4958515148
63	0.494984791
64	0.4936934641
65	0.4923673785
66	0.4914369151
67	0.4903674169
68	0.4895551822
69	0.4884691498
70	0.4875125328
71	0.4864607674
72	0.4854408717
73	0.4845006968
74	0.4832928399
75	0.4825127823
76	0.4818063296
77	0.4801781415
78	0.4794302304
79	0.4785244146
80	0.4777528085
81	0.4765528499
82	0.4754183828
83	0.4742839156
84	0.4734757684
85	0.4728885278
86	0.4719087691
87	0.4705740169
88	0.4689897151
89	0.4672934233
90	0.4666103889
91	0.4659419526
92	0.4653169415
93	0.4644964704
94	0.4635843851
95	0.4626007541
96	0.4612809687
97	0.4598226403
98	0.459313676
99	0.4586471757
100	0.4581390412
101	0.4569963684
102	0.4564683497
103	0.4555643164
104	0.4545746003
105	0.454026882
106	0.452985535
107	0.4519918851
108	0.4513417039
109	0.4496704286
110	0.4490946513
111	0.4484627254
112	0.447506047
113	0.4463480693
114	0.4452541693
115	0.4444849297
116	0.4438592117
117	0.443135395
118	0.4425109064
119	0.4420053534
120	0.4411303932
121	0.4400942707
122	0.4391060298
123	0.4381887814
124	0.4374779954
125	0.4367560226
126	0.4361762194
127	0.4356668555
128	0.43464487
129	0.4341229365
130	0.4331890002
131	0.4326596601
132	0.4321048118
133	0.4315413584
134	0.4306597599
135	0.4300650206
136	0.42924415
137	0.4281645714
138	0.4274887592
139	0.426641397
140	0.4262218341
141	0.4258302379
142	0.4247970658
143	0.4240349561
144	0.4235958165
145	0.4229709283
146	0.422120247
147	0.4213854894
148	0.4207965893
149	0.4198402182
150	0.4194965343
151	0.4188924522
152	0.4181904557
153	0.4176882218
154	0.4171690235
155	0.4167019171
156	0.4162649595
157	0.4158517275
158	0.4147713806
159	0.4141129016
160	0.4133692931
161	0.4130568336
162	0.4126148358
163	0.4121201929
164	0.4111704908
165	0.4107835046
166	0.4102534268
167	0.4100819383
168	0.4096825361
169	0.4093059989
170	0.4088574243
171	0.4082006049
172	0.4077191463
173	0.4070740975
174	0.4066118469
175	0.4062430544
176	0.4057436787
177	0.4052437804
178	0.4048964086
179	0.4043949431
180	0.4036144245
181	0.4033294401
182	0.402871953
183	0.4025450185
184	0.4020677703
185	0.4016694129
186	0.4011353707
187	0.4006702926
188	0.4001501723
189	0.3998646655
190	0.3995500855
191	0.3990275987
192	0.3983462853
193	0.3977930966
194	0.3972667683
195	0.3967126575
196	0.3958120663
197	0.3954415221
198	0.3949460186
199	0.3944956615
200	0.393842653
201	0.3933433694
202	0.3928795821
203	0.3924813784
204	0.3916097989
205	0.3911289549
206	0.3908416349
207	0.3900707356
208	0.3896721631
209	0.3892518012
210	0.3888822404
211	0.388380406
212	0.3880384124
213	0.3867774802
214	0.3863102509
215	0.3858300216
216	0.385405357
217	0.3849426454
218	0.3842882231
219	0.3836164676
220	0.3833684854
221	0.3828754406
222	0.3824153105
223	0.3820434447
224	0.3816479763
225	0.3810360881
226	0.3807715409
227	0.3802758531
228	0.3797082507
229	0.3792316786
230	0.3786771684
231	0.3783734678
232	0.3777834613
233	0.377183774
234	0.3763594306
235	0.3758607002
236	0.3748971376
237	0.374659666
238	0.3744170927
239	0.3740677541
240	0.3737197984
241	0.3732723609
242	0.3729568282
243	0.3723394695
244	0.3719178168
245	0.3715532347
246	0.3711180288
247	0.3708027727
248	0.3704975355
249	0.3698943754
250	0.3694933135
251	0.3690091197
252	0.3681553959
253	0.3678084543
254	0.3672815728
255	0.366652505
256	0.366216285
257	0.3658322491
258	0.365438686
259	0.3650832008
260	0.3645857919
261	0.3641145674
262	0.3637791506
263	0.3634708708
264	0.3631379741
265	0.3627277232
266	0.3623392925
267	0.3619660438
268	0.3610262684
269	0.3606160789
270	0.3602894824
271	0.35992321
272	0.3592833243
273	0.3588478111
274	0.3584051372
275	0.358026203
276	0.3576475145
277	0.3571959589
278	0.3567360439
279	0.3564732485
280	0.3558691972
281	0.355411956
282	0.3549685752
283	0.3544844429
284	0.3540357453
285	0.3535803481
286	0.3531492297
287	0.352855425
288	0.3524714198
289	0.3518854393
290	0.3514323777
291	0.3510064839
292	0.3506371997
293	0.3500560442
294	0.3496390321
295	0.3490355954
296	0.3484807471
297	0.3481196685
298	0.3477173466
299	0.3472420346
300	0.3468663272
301	0.3465633335
302	0.34610474
303	0.3457418482
304	0.3453836892
305	0.3450790667
306	0.3447057872
307	0.3442798319
308	0.3438018768
309	0.3433693447
310	0.3427269082
311	0.3424756376
312	0.3419830537
313	0.3416711168
314	0.3413500522
315	0.3409840564
316	0.3406448902
317	0.3403988442
318	0.3398952887
319	0.3388251452
320	0.3384813998
321	0.3380595934
322	0.3378085072
323	0.3374078142
324	0.3371633048
325	0.336691404
326	0.3364042069
327	0.3360492441
328	0.3355560764
329	0.3352429408
330	0.334402432
331	0.3338513024
332	0.3335267035
333	0.3331132257
334	0.3322815986
335	0.3320101059
336	0.3316802518
337	0.3309571419
338	0.3306300844
339	0.3303045943
340	0.3301396519
341	0.3296929827
342	0.329547279
343	0.329386762
344	0.3288684549
345	0.3279118994
346	0.3271263407
347	0.3268086567
348	0.3260607148
349	0.3257067662
350	0.3250132827
351	0.3246854262
352	0.3241410577
353	0.3236741972
354	0.3232251923
355	0.3224156006
356	0.3216451931
357	0.3212605425
358	0.3211198789
359	0.3206798173
360	0.3202697201
361	0.3199429392
362	0.3197505832
363	0.3194081901
364	0.319034634
365	0.3189109656
366	0.318397668
367	0.3180433198
368	0.3173311201
369	0.3166521731
370	0.3160449563
371	0.3157718347
372	0.3156679274
373	0.3154527985
374	0.3149633801
375	0.3144887749
376	0.3139144114
377	0.313816036
378	0.31338544
379	0.3128595112
380	0.3122604693
381	0.3115745153
382	0.3110372461
383	0.3108104387
384	0.3106646427
385	0.3097078721
386	0.3092070826
387	0.3090634687
388	0.3085925514
389	0.3081384757
390	0.3075313203
391	0.3072240547
392	0.3063901534
393	0.3058925294
394	0.3052433932
395	0.3048031164
396	0.3047001619
397	0.3044323878
398	0.3043243009
399	0.3042123109
400	0.3035794015
401	0.3031055646
402	0.3027656916
403	0.3024185657
404	0.3020714705
405	0.3015687756
406	0.3005836694
407	0.3002728081
408	0.2998560726
409	0.2994483418
410	0.2989797602
411	0.2986288234
412	0.2982658087
413	0.2981645751
414	0.2974201368
415	0.2970619163
416	0.2961483866
417	0.295546087
418	0.2946857863
419	0.2945117778
420	0.2941849047
421	0.2938933128
422	0.2935802079
423	0.2931547751
424	0.2927300183
425	0.2923663275
426	0.2918500795
427	0.2914750175
428	0.2913508574
429	0.2909248713
430	0.2905044786
431	0.2901146035
432	0.2894016969
433	0.2888663946
434	0.2885192072
435	0.2882299817
436	0.2879398957
437	0.287768653
438	0.2871261551
439	0.2868711351
